sampleID;CLEC3A;CPB1;SCGB2A2;SCGB1D2;TFF1;MUCL1;GSTM1;PIP;ADIPOQ;ADH1B;HMGCS2;S100A7;CYP2B7P1;TAT;ANKRD30A;PRAME;CYP4Z1;SERPINA6;AGR3;UGT2B11;MUC6;KCNJ3;TFAP2B;MYBPC1;DHRS2;C4orf7;SLC30A8;KRT14;SOX10;STAC2;GABRP;CEACAM5;KRT5;COL2A1;TUSC5;GP2;VSTM2A;CALML5;GSTT1;FABP7;LEP;C1orf64;TFF3;PIGR;CRABP1;CST1;MUC5B;SYT13;GRIA2;KRT6B;PAM50_Label
TCGA-BH-A0EI-01;4.8867;5.6116;6.2612;3.5146;5.1447;6.1479;9.8836;7.7864;3.3051;4.6408;0.4711;1.1102;5.5052;1.889;12.4901;0.8258;6.6083;0.8258;9.9975;0.4711;0.4711;3.3604;10.5388;2.6798;8.3064;2.2817;2.844;8.4197;4.769;5.5052;7.1574;1.3477;8.5695;6.8878;2.392;1.889;1.889;2.0321;10.1858;6.0919;2.392;5.03;10.7275;2.392;3.3604;2.392;7.0182;13.0683;6.55;6.4515;LumA
TCGA-BH-A0GY-01;3.5071;5.0837;8.4361;5.2468;8.1204;8.5341;6.7828;6.2704;7.4626;7.1232;7.5097;8.5022;10.2226;5.7603;5.1028;4.6114;7.5589;8.5943;10.8367;0.5369;5.1585;0.9273;5.4833;0.9273;13.692;4.0687;11.5553;10.4933;6.5247;7.5485;12.3584;8.1063;13.3084;4.8999;4.8999;9.8396;10.8591;9.4499;8.6357;4.7866;4.7866;4.9215;8.8789;8.5824;5.1028;8.4096;9.2052;7.9388;0.5369;10.6877;LumA
TCGA-BH-A0GZ-01;13.4934;7.0001;10.0944;7.084;10.666;8.7122;0.5649;12.7285;7.5242;7.5539;4.8951;3.7507;2.9467;2.1226;8.8624;3.7507;0.5649;3.8012;12.4877;7.1531;2.9467;9.484;2.6489;1.5445;10.7683;1.2856;10.09;9.6779;3.9871;3.3372;6.1781;10.7883;12.6648;2.7551;5.9511;2.8541;6.6637;2.9467;10.5079;1.764;3.6441;10.3526;14.7141;8.0079;2.4096;11.972;3.7507;11.8227;9.2654;9.8308;LumA
TCGA-BH-A0H0-01;3.9572;6.9789;15.4788;8.7553;3.3812;4.7605;2.479;5.1031;10.8091;10.0706;8.8726;0.3438;11.7984;1.528;1.23;4.9608;2.547;0.3438;10.2278;1.0542;1.9856;10.9021;2.0805;8.2314;6.8933;0.3438;1.3866;5.9183;1.9856;4.1663;3.982;7.0303;5.7909;6.7954;8.3972;10.5262;0.0;0.8539;9.2438;0.0;7.0742;11.7476;4.702;2.4076;0.0;3.5891;1.6567;2.3325;7.2979;2.1695;LumB
TCGA-BH-A0H3-01;0.9768;9.2938;4.6554;4.7275;7.7693;5.1768;8.5282;7.2903;9.4323;9.848;5.9763;0.4035;11.9394;3.0178;10.0812;0.4035;7.726;2.1857;11.4063;0.7184;3.6937;9.8586;11.2363;10.7632;4.7275;3.0741;2.0796;10.982;7.9153;7.7947;10.042;6.8764;11.2457;4.5796;6.1103;6.9384;0.4035;5.4985;9.1845;3.0741;4.9243;8.9277;8.1757;13.5345;4.7275;8.005;5.5883;10.4626;2.8341;8.41;LumA
TCGA-BH-A0H5-01;3.4308;9.3546;11.3369;10.4334;10.5853;13.9138;0.4608;11.5207;10.4763;11.8942;8.3659;2.7322;4.8504;10.4802;8.1382;3.214;5.7665;7.0845;10.0554;7.0297;10.6084;1.0902;11.1931;8.2114;10.6363;8.8328;0.4608;10.8238;8.2369;8.2547;9.198;5.2433;10.8794;5.0764;7.988;7.6471;8.7702;4.9415;9.3185;6.0301;6.5305;10.3753;11.6816;12.2511;5.5634;9.3906;11.0473;2.5588;1.5269;6.6862;LumA
TCGA-BH-A0H5-11;4.5506;11.336;12.8806;11.6754;8.3629;15.7344;0.0;14.1944;12.7503;12.6265;11.6185;3.4556;6.8486;13.0523;10.4853;2.2446;9.5549;8.9317;9.6851;9.1663;7.2262;4.3883;10.4587;11.4259;8.7954;8.0534;0.8726;13.9069;11.4033;12.3951;13.052;4.3594;14.5136;8.2996;10.6929;8.042;2.5815;9.2983;8.993;8.847;10.4032;7.5187;9.9061;13.6419;8.9032;0.0;8.8868;4.6008;6.66;11.052;Normal
TCGA-BH-A0H6-01;4.0004;9.3267;13.7519;10.7414;8.4265;9.851;13.6593;6.3876;9.8724;9.962;1.1483;1.3907;2.9807;3.5788;9.4261;4.7951;5.213;5.5492;9.6747;4.1702;9.6436;3.4774;10.945;8.8733;12.5253;1.1483;1.1483;5.8724;2.7392;1.5982;5.1971;4.4384;6.3735;11.199;6.8801;7.0749;2.7392;4.6395;8.7779;0.0;6.0149;10.7735;10.9361;2.2171;7.3032;3.7187;3.529;6.1773;4.0717;4.5171;LumA
TCGA-BH-A0H7-01;6.2514;6.0729;6.1213;5.3361;7.3503;5.6509;6.944;7.9838;4.2016;4.2016;7.0407;5.5021;1.5704;14.0114;1.2099;3.0961;10.1781;5.2516;12.1378;0.0;1.5704;8.5198;4.2522;0.7282;10.1634;2.6445;6.0516;10.1363;6.276;6.1943;8.9196;7.7747;10.7996;3.4395;1.9836;4.0092;13.49;13.4537;9.0708;2.8555;2.4844;8.1447;11.4111;7.6099;3.787;8.7649;10.2193;2.7183;1.7216;9.0288;LumA
TCGA-BH-A0H7-11;5.5312;7.5996;13.2183;11.4204;8.3428;11.9198;9.594;13.5073;12.8828;13.0914;10.6663;3.3066;4.0416;13.3971;6.7198;2.5915;8.6676;8.423;10.1199;3.5161;7.3761;5.9108;9.1015;9.2054;8.0463;8.2742;5.3378;14.5037;11.5013;12.7888;12.565;7.0412;14.733;6.6042;10.4389;7.1275;11.0437;12.629;10.0427;8.4327;8.7451;9.1815;10.8658;12.8848;9.2025;5.9475;8.9519;4.6864;4.7909;11.1417;Normal
