MCM10,THSD4
7.8374,12.5173
6.5102,12.0901
5.747,11.4746
5.8658,11.7534
5.3917,11.2292
8.0654,11.2463
7.8266,10.0186
6.08,12.2137
6.0558,12.1678
5.6781,11.2438
6.5244,12.3973
5.0224,10.6422
9.0367,11.9944
7.7543,11.6236
5.8098,11.741
5.9113,11.4767
7.057,10.7256
7.3804,10.6414
5.6399,11.2141
7.6119,12.1133
3.7779,11.8494
7.0541,10.6114
7.7033,11.5361
5.0538,13.0853
7.3903,11.9535
3.692,10.7059
5.8115,12.2048
6.2798,12.7747
6.8449,11.6504
8.1625,11.0488
8.4987,11.3173
8.0818,11.4488
7.2758,11.947
4.9485,12.0549
6.4547,12.0325
5.4538,10.9814
6.3546,11.7902
4.8823,11.9211
7.1587,11.1678
3.127,11.9647
4.4895,11.5711
6.4864,10.8314
6.0649,13.1497
7.5836,11.5262
6.6056,11.0333
7.1956,11.1858
5.6197,11.1453
7.3067,10.4654
7.2913,11.6625
5.5517,11.4763
7.6974,10.7614
9.2213,10.6839
7.4404,9.8479
8.2945,10.7794
8.6048,10.1658
9.8728,11.6055
8.5729,7.9165
7.8863,8.8224
8.7296,10.6277
7.7583,9.2885
7.5788,9.1004
9.0211,10.5492
8.0661,9.7656
9.5504,11.826
6.4497,8.5624
7.6211,11.0215
7.9775,9.2299
7.0055,9.9157
8.7267,11.7216
8.5578,9.5483
8.2554,11.1104
8.3318,9.8347
7.5069,8.951
8.0688,10.4151
8.789,9.0701
7.9241,9.7045
8.2591,10.9186
7.9186,10.6898
8.4644,5.9148
10.3624,10.8522
8.7038,11.7362
8.8299,11.7141
8.4174,10.9181
5.9209,7.601
9.4313,10.7787
7.243,9.0423
8.7464,9.3484
7.7463,9.14
8.2444,12.0365
8.409,9.8029
8.7419,10.3168
11.0078,8.7063
8.3888,7.9016
7.6449,10.7818
9.1905,10.0808
8.4356,9.0696
7.6909,10.4794
9.8417,11.9157
8.6047,11.2487
9.2484,8.305
9.1122,10.6705
8.6839,12.0682
7.4193,10.5842
6.8979,10.2557
6.2604,11.2617
8.0422,7.5614
8.6467,11.3998
8.5992,10.1857
9.0915,8.3693
7.7596,11.0734
9.2093,10.8139
8.1393,9.8179
6.6351,9.5134
8.7966,10.5212
9.058,11.0758
8.9874,10.9611
8.6943,9.4734
8.4842,7.9458
7.9112,10.0354
7.869,9.5114
8.5413,7.9966
9.0348,6.446
8.6415,7.1779
7.5296,11.683
7.5957,5.7386
8.6677,11.9811
8.507,11.0932
7.47,11.6021
8.0549,10.8329
7.5019,8.8449
10.2962,11.2354
8.1857,10.7004
8.9116,12.9117
6.989,9.7268
7.169,8.566
8.2189,8.054
5.7059,11.1459
7.8671,10.7736
8.6589,9.1227
7.8137,12.8299
8.6285,8.809
7.9435,9.1264
6.9561,11.8474
