Unnamed: 0;KRT5;FABP7;TFF3;NKAIN1;WDR72;DEGS2;HOXC13;LOC145837;CA12;MLPH;PXDNL;CDH3;TFCP2L1;GATA3;PTGER3;PRSS33;TGFBR3;RDH16;DLX6;IL34;TMEM108;MCM10;FGD3;KSR2;LPO;F10;ADAMTS5;CEP55;CCDC8;DEPDC1B;SUSD2;NCAPG;TRIM2;UBE2T;C6orf211;LEPREL1;SPRY2;FANCA;AACSL;GSG2;PGAP3;DBNDD2;F2R;PPAP2B;MPHOSPH6;RUNX1;TIMELESS;PRPF3;RAB9A;USP36
KRT14;0.8962877029459483;0.4715921717716973;-0.1435964158073081;-0.2182910602747635;0.0544862514935273;-0.1217092816248175;0.030053597827604;-0.2009108543107689;-0.1357816623045065;-0.1571327896750294;-0.1977989337552481;0.5268948504481012;0.3724223406176807;-0.2091674211776296;0.1126685378237585;0.2213028448793955;0.2961571597036845;-0.2050088702765843;0.2460125692396531;0.6309864476576214;0.2904794856780437;-0.2603926839194688;0.0049781226646688;-0.0433384488177066;0.1974649986599368;0.4539831287894453;0.3578204699262268;-0.2791502431230571;0.5746129855867594;-0.2575789552987614;0.1042189985449963;-0.2998374337597509;0.3918924377874583;-0.3161288129188153;-0.3120082799563169;0.5099306341280677;0.5083166007256206;-0.149683785350469;-0.009808047281134;-0.2196618093993595;-0.072032258147828;-0.0272525563039258;0.0873244953488217;0.3413076146783123;0.0442610987828382;0.2692519881027673;-0.3395418979337368;-0.0585662152906403;0.112181358380992;0.0086733865546692
KRT5;1.0;0.535473604605811;-0.2594113733655367;-0.2794190993749255;0.0516843636425979;-0.2376724942790206;0.0357618625809524;-0.3050976245020828;-0.2401395500898935;-0.28153428370658;-0.2019928984773535;0.6097662751274642;0.3856783238879168;-0.2969992323823581;0.0517829444033371;0.2258427223841154;0.2503405096123827;-0.210186707967974;0.2645339401058786;0.6468797423823984;0.311375360615282;-0.1492113155424718;-0.0830616482771931;-0.0987937082650367;0.2400109261789684;0.3842557410894934;0.3668805119946814;-0.1770702393886701;0.5255032809072677;-0.1729207780083714;0.0734926800961105;-0.2088823320322801;0.4403027830355182;-0.2483413580695662;-0.3930645912914154;0.5540534834430776;0.5022528806557147;-0.0658262530666255;0.0521323811151819;-0.0929610228836451;-0.1322547855025926;-0.1264457824347572;0.0520862223711801;0.3537960136596108;0.1056040604253617;0.2072202822499214;-0.2653864826961099;-0.0131295787649011;0.1733662747685388;0.0113656116866259
KRT17;0.9021765476271344;0.5018656375249698;-0.231931544539782;-0.2784600051727056;0.0360154175811435;-0.2077858934593368;0.0869736231757151;-0.2984505528214255;-0.2417207751129438;-0.2651267069109662;-0.1827404950411079;0.6494608734756511;0.3655459812661386;-0.2900430213844686;0.0318204299240415;0.2796690715080942;0.1929990822255028;-0.1931222088327726;0.295402184812931;0.6391261801930972;0.3128290931168703;-0.1321004789559031;-0.0595040129059439;-0.115185432659298;0.2912181792290932;0.3533189632279628;0.3458283401627074;-0.1527044559594348;0.552704956252022;-0.1568378117183821;0.1396376605182822;-0.1811084270544504;0.4076678762825223;-0.2002927356437928;-0.4091759880347663;0.4967069678702646;0.4590367734459125;-0.0369745139015504;0.0387317069072193;-0.0994003206721519;-0.0585514014577699;-0.1118798634417032;0.0443987707915414;0.2896423276465721;0.1441736842229674;0.2364425742454679;-0.2799349687189658;0.0403547982957767;0.1414452303665809;0.0069231571039198
PGR;-0.0488321342255081;-0.3107838725295837;0.5459833479385346;0.3816970377968152;0.2161765283914108;0.5419287300113297;-0.0750732989135371;0.4371006639648049;0.6552747711274677;0.5533612471325428;-0.0251565493951946;-0.2331483364098734;-0.0935151143097142;0.5530745734615764;0.605505982422483;-0.4107480643776318;0.3657525910415254;0.0167585014715451;-0.4056424119314034;-0.2298049360379726;-0.132511729190465;-0.4372087922487624;0.5565640674469218;0.3737886017279465;-0.4305153931682803;0.2112373907308096;0.0923819192349011;-0.4070348426287665;0.1993533764411245;-0.3683643987799032;-0.0242453062827086;-0.3753148452314168;-0.2496049982180238;-0.3459915091002105;0.4319777907488236;0.0296184181574809;0.044201048952761;-0.4548968072358867;-0.2369288327553343;-0.407896389896826;-0.0159517899009793;0.3422510684176755;0.2419476851891006;0.1160568477345524;-0.3652633159616661;0.4423698721448268;-0.1888112045283435;-0.3035161152118533;-0.2559662405919665;-0.122490550284171
SFRP1;0.7239325259951492;0.6585622506686988;-0.4045543590446015;-0.4201585480521837;-0.0609212330893403;-0.4668361392153503;-0.0652691132628792;-0.4479348466786154;-0.4249195049582691;-0.4684389599117904;-0.2036554727189817;0.5433819563720531;0.4466714528243072;-0.5050598746860545;0.0552810601488186;0.4401674311169654;0.4318459938905281;-0.39406737286729;0.4152462850255117;0.729851298509607;0.3826057818149448;-0.1773110159256077;-0.2307157964024453;-0.1230199789470641;0.3423248518500678;0.4546091116586577;0.5629653539604293;-0.2451373270714352;0.5172394984911042;-0.2331740108740498;0.0101254825250607;-0.275127575997508;0.6634028055157793;-0.3292327509962908;-0.4972714550176981;0.6234239749945814;0.7230107641553418;-0.0996832681512647;0.0110678745261227;-0.1042842623421777;-0.2652311844278455;-0.2017699579155122;0.0443358631794884;0.5242047713212076;0.1326526578640986;0.134869002951124;-0.3632826817398378;0.0180805173950772;0.2495523480007214;0.0698552939798573
ESR1;-0.2956633965728736;-0.5579039772605981;0.6605043782285155;0.4983505542054232;0.2259419675215785;0.6883059008099772;-0.0964845843707248;0.66819124166318;0.7971861987991458;0.7399991789449677;0.051506927523097;-0.4682318242070057;-0.1702313670756722;0.8162844208222318;0.4583917468036859;-0.5634682151076442;0.1437018088799451;0.2111696975440505;-0.5221744896215178;-0.4564107436166968;-0.2757790301575327;-0.3705553192031799;0.5089620434242734;0.4270686837235765;-0.5625441446528491;0.0463870330350643;-0.1648611667070024;-0.3075200009664458;-0.0522375386191119;-0.2518045174240987;-0.0814077402528139;-0.2673164750553206;-0.4500397939749315;-0.218383405704913;0.7533999088160681;-0.2408143004277791;-0.2454245130176562;-0.3749250091342645;-0.2058578099612696;-0.3604331175838854;0.0719591444954919;0.4927948353526758;0.2145973986927969;-0.0862166884372778;-0.4272229999215632;0.1833784584015209;-0.0205432383672213;-0.2837207588940463;-0.2863943177100175;-0.0766104084083355
MIA;0.7047472551779773;0.6445310422645006;-0.4025065154357171;-0.3552094010124169;-0.0266825276812662;-0.4090425595259278;0.0426590903261036;-0.4414264152808234;-0.4316968692529155;-0.45775957107185;-0.1676113207530926;0.6194430565135189;0.5024996339133433;-0.459589749332236;-0.0976719379534301;0.5544278562561938;0.246613108908664;-0.3198193286031696;0.474911358034871;0.7175300044596108;0.3915029705355789;-0.0678829136831753;-0.1548416368078897;-0.1430351758836632;0.443331959150729;0.2796283676339593;0.3453107032049188;-0.1040314935582003;0.4566522431819526;-0.0951032660209129;0.0078091087338069;-0.1234861154404876;0.5656728766879567;-0.1434091612460623;-0.4886177190832621;0.5166322125623805;0.5295183502266863;0.0375329525383199;0.0313260752762053;-0.0274884628621353;-0.1980515983751673;-0.1116541086990172;-0.0924735512073797;0.2702192242199704;0.1344734822792984;0.1326308209335796;-0.2812085507593402;0.1233319113415487;0.2275652893538133;0.1134530264949717
FOXA1;-0.3327760523449367;-0.4524829254418454;0.7757151036272184;0.4864385153558535;0.1844350494110953;0.7547466525627751;0.0449413395146758;0.7681374692810709;0.7594011945217903;0.8435219840132506;-0.0272265960254809;-0.3568844662994692;-0.3439213520043741;0.8002809279601045;0.321299221811942;-0.6332761163907811;-0.018492347648368;0.2474760780684637;-0.6159795690703083;-0.5397845589238203;-0.1982235716734789;-0.2543403445990281;0.4164312265195606;0.3792468385552618;-0.5297148020092963;-0.0224051401267324;-0.1935339324881484;-0.1686986990986204;-0.0289014230533706;-0.1424727002168027;0.1217496166322973;-0.1445994547423933;-0.4841906830430246;-0.0798587842129869;0.6102460093832083;-0.3450967655388705;-0.2627769331290459;-0.2944192419595058;-0.1736487693971958;-0.2658305087709927;0.3279057852443692;0.2837050904011386;0.3460368404005823;-0.1098044539564311;-0.1559539372155788;0.2971914822112885;0.0775563067507382;-0.2880508937467753;-0.2811890591581082;-0.1713081103096121
NAT1;-0.2393887290712;-0.4734258953582345;0.574779923573078;0.3890766280487226;0.1357086666402791;0.6646610452180414;0.0807951785637267;0.5747874407135108;0.6658728380870657;0.6505034693045197;-0.0354330238453169;-0.3617892311608135;-0.3336597577576554;0.6646742890125106;0.3772299095740182;-0.4761821331241485;0.0540012709686061;0.1677096976155349;-0.4634778870107274;-0.3862133626006674;-0.2066658284997336;-0.2771474968660753;0.5732469486054607;0.2988746754657424;-0.4580934789303074;0.0314802952699356;-0.1583870070598085;-0.178204907995726;-0.0192130565356202;-0.1494456858378917;0.0051019258069238;-0.1668717920558072;-0.4612376648161984;-0.0609349245770807;0.472213431502364;-0.22417769128852;-0.2802646160806078;-0.3228818429336848;-0.1885612216391459;-0.2768665679288403;0.1124232132260907;0.3607175500529634;0.3219685759481774;-0.141591073811891;-0.333329892688077;0.3154364547315407;-0.0134246562238678;-0.184148847119851;-0.1606901090573479;-0.2640703530541391
MMP11;-0.2555394791854266;-0.3307172610439881;0.1708562527653743;0.3843271170506823;-0.004944285985189;0.3299843612080315;0.3695288881591842;0.1183637759067895;0.2256605671388385;0.2288548909568492;0.1125310456939176;-0.0425888943505975;-0.2705816539320861;0.2480025114964215;-0.0339560406507382;-0.1256911933288982;-0.4377048501541111;0.3234582587859325;-0.1647282662514281;-0.2784856653614952;-0.1210445578941408;0.3416416540313662;0.332999326501869;-0.0578222336285487;-0.0743394947567547;-0.2435445490938126;-0.3937579684492843;0.4441104737354825;-0.0642180036032492;0.3839295274719484;0.2035351529119077;0.4124264667928405;-0.440925137684125;0.4464235790259118;0.1381090075493784;-0.3466461485537566;-0.5145065708032033;0.2585261803089536;0.0402523211637581;0.2482386983108695;0.2462575893508294;0.0390156224456143;0.3855793079351003;-0.4143738214315117;-0.0800467665030293;0.2091751644453474;0.3684528428014177;0.1011566953461185;-0.1567896467122478;-0.0831272000160075
